ocel_event_id;ocel_IoT_object_id;ocel_qualifier
determine_continu_tr18_Pcp207_Silo9;Temp9;Temperature sensor for determining the pickup continuation
determine_continu_tr18_Pcp207_Silo9;Humd9;Humidity sensor for determining the pickup continuation
determine_continu_tr18_Pcp207_Silo9;GrainTemp25;1st grain temperature sensor for determining the pickup continuation
determine_continu_tr18_Pcp207_Silo9;GrainTemp26;2nd grain temperature sensor for determining the pickup continuation
determine_continu_tr18_Pcp207_Silo9;GrainTemp27;3rd grain temperature sensor for determining the pickup continuation
enter_tr1_Pcp207;rfidBKTRLP;RFID tag read at entrance
weigh_empty_tr15_Pcp96;WS19;Weight sensor for empty truck weighing
determine_continu_tr7_Pcp168_Silo15;Temp15;Temperature sensor for determining the pickup continuation
determine_continu_tr7_Pcp168_Silo15;Humd15;Humidity sensor for determining the pickup continuation
determine_continu_tr7_Pcp168_Silo15;GrainTemp43;1st grain temperature sensor for determining the pickup continuation
determine_continu_tr7_Pcp168_Silo15;GrainTemp44;2nd grain temperature sensor for determining the pickup continuation
determine_continu_tr7_Pcp168_Silo15;GrainTemp45;3rd grain temperature sensor for determining the pickup continuation
enter_tr17_Pcp305;rfidVYEBVG;RFID tag read at entrance
check_abnorm_tr15_Pcp96;rfidIDWLCS;RFID tag read at empty truck weighing
enter_tr32_Pcp64;rfidQCYTDW;RFID tag read at entrance
enter_tr6_Pcp336;rfidQSKZVB;RFID tag read at entrance
weigh_loaded_tr21_Pcp63;WS04;Weight sensor for loaded truck weighing
weigh_empty_tr25_Pcp407;WS11;Weight sensor for empty truck weighing
check_abnorm_tr25_Pcp407;rfidMFTSWW;RFID tag read at empty truck weighing
determine_continu_tr37_Pcp253_Silo13;Temp13;Temperature sensor for determining the pickup continuation
determine_continu_tr37_Pcp253_Silo13;Humd13;Humidity sensor for determining the pickup continuation
determine_continu_tr37_Pcp253_Silo13;GrainTemp37;1st grain temperature sensor for determining the pickup continuation
determine_continu_tr37_Pcp253_Silo13;GrainTemp38;2nd grain temperature sensor for determining the pickup continuation
determine_continu_tr37_Pcp253_Silo13;GrainTemp39;3rd grain temperature sensor for determining the pickup continuation
weigh_loaded_tr11_Pcp479;WS18;Weight sensor for loaded truck weighing
determine_continu_tr38_Pcp86_Silo1;Temp1;Temperature sensor for determining the pickup continuation
determine_continu_tr38_Pcp86_Silo1;Humd1;Humidity sensor for determining the pickup continuation
determine_continu_tr38_Pcp86_Silo1;GrainTemp1;1st grain temperature sensor for determining the pickup continuation
determine_continu_tr38_Pcp86_Silo1;GrainTemp2;2nd grain temperature sensor for determining the pickup continuation
determine_continu_tr38_Pcp86_Silo1;GrainTemp3;3rd grain temperature sensor for determining the pickup continuation
determine_continu_tr25_Pcp407_Silo19;Temp19;Temperature sensor for determining the pickup continuation
determine_continu_tr25_Pcp407_Silo19;Humd19;Humidity sensor for determining the pickup continuation
determine_continu_tr25_Pcp407_Silo19;GrainTemp55;1st grain temperature sensor for determining the pickup continuation
determine_continu_tr25_Pcp407_Silo19;GrainTemp56;2nd grain temperature sensor for determining the pickup continuation
determine_continu_tr25_Pcp407_Silo19;GrainTemp57;3rd grain temperature sensor for determining the pickup continuation
weigh_empty_tr6_Pcp336;WS03;Weight sensor for empty truck weighing
check_abnorm_tr6_Pcp336;rfidQSKZVB;RFID tag read at empty truck weighing
weigh_empty_tr42_Pcp23;WS17;Weight sensor for empty truck weighing
weigh_empty_tr8_Pcp221;WS10;Weight sensor for empty truck weighing
determine_continu_tr45_Pcp102_Silo13;Temp13;Temperature sensor for determining the pickup continuation
determine_continu_tr45_Pcp102_Silo13;Humd13;Humidity sensor for determining the pickup continuation
determine_continu_tr45_Pcp102_Silo13;GrainTemp37;1st grain temperature sensor for determining the pickup continuation
determine_continu_tr45_Pcp102_Silo13;GrainTemp38;2nd grain temperature sensor for determining the pickup continuation
determine_continu_tr45_Pcp102_Silo13;GrainTemp39;3rd grain temperature sensor for determining the pickup continuation
check_abnorm_tr8_Pcp221;rfidCEZEBQ;RFID tag read at empty truck weighing
weigh_empty_tr17_Pcp305;WS03;Weight sensor for empty truck weighing
check_abnorm_tr42_Pcp23;rfidLEEHFK;RFID tag read at empty truck weighing
weigh_loaded_tr49_Pcp330;WS01;Weight sensor for loaded truck weighing
determine_continu_tr24_Pcp249_Silo20;Temp20;Temperature sensor for determining the pickup continuation
determine_continu_tr24_Pcp249_Silo20;Humd20;Humidity sensor for determining the pickup continuation
determine_continu_tr24_Pcp249_Silo20;GrainTemp58;1st grain temperature sensor for determining the pickup continuation
determine_continu_tr24_Pcp249_Silo20;GrainTemp59;2nd grain temperature sensor for determining the pickup continuation
determine_continu_tr24_Pcp249_Silo20;GrainTemp60;3rd grain temperature sensor for determining the pickup continuation
weigh_loaded_tr33_Pcp360;WS06;Weight sensor for loaded truck weighing
check_abnorm_tr17_Pcp305;rfidVYEBVG;RFID tag read at empty truck weighing
weigh_empty_tr32_Pcp64;WS05;Weight sensor for empty truck weighing
check_abnorm_tr32_Pcp64;rfidQCYTDW;RFID tag read at empty truck weighing
weigh_loaded_tr7_Pcp168;WS16;Weight sensor for loaded truck weighing
determine_continu_tr42_Pcp23_Silo1;Temp1;Temperature sensor for determining the pickup continuation
determine_continu_tr42_Pcp23_Silo1;Humd1;Humidity sensor for determining the pickup continuation
determine_continu_tr42_Pcp23_Silo1;GrainTemp1;1st grain temperature sensor for determining the pickup continuation
determine_continu_tr42_Pcp23_Silo1;GrainTemp2;2nd grain temperature sensor for determining the pickup continuation
determine_continu_tr42_Pcp23_Silo1;GrainTemp3;3rd grain temperature sensor for determining the pickup continuation
weigh_loaded_tr18_Pcp207;WS17;Weight sensor for loaded truck weighing
weigh_empty_tr1_Pcp207;WS08;Weight sensor for empty truck weighing
determine_continu_tr15_Pcp96_Silo12;Temp12;Temperature sensor for determining the pickup continuation
determine_continu_tr15_Pcp96_Silo12;Humd12;Humidity sensor for determining the pickup continuation
determine_continu_tr15_Pcp96_Silo12;GrainTemp34;1st grain temperature sensor for determining the pickup continuation
determine_continu_tr15_Pcp96_Silo12;GrainTemp35;2nd grain temperature sensor for determining the pickup continuation
determine_continu_tr15_Pcp96_Silo12;GrainTemp36;3rd grain temperature sensor for determining the pickup continuation
weigh_loaded_tr25_Pcp407;WS19;Weight sensor for loaded truck weighing
check_abnorm_tr1_Pcp207;rfidBKTRLP;RFID tag read at empty truck weighing
determine_continu_tr8_Pcp221_Silo14;Temp14;Temperature sensor for determining the pickup continuation
determine_continu_tr8_Pcp221_Silo14;Humd14;Humidity sensor for determining the pickup continuation
determine_continu_tr8_Pcp221_Silo14;GrainTemp40;1st grain temperature sensor for determining the pickup continuation
determine_continu_tr8_Pcp221_Silo14;GrainTemp41;2nd grain temperature sensor for determining the pickup continuation
determine_continu_tr8_Pcp221_Silo14;GrainTemp42;3rd grain temperature sensor for determining the pickup continuation
weigh_loaded_tr38_Pcp86;WS10;Weight sensor for loaded truck weighing
determine_continu_tr1_Pcp207_Silo9;Temp9;Temperature sensor for determining the pickup continuation
determine_continu_tr1_Pcp207_Silo9;Humd9;Humidity sensor for determining the pickup continuation
determine_continu_tr1_Pcp207_Silo9;GrainTemp25;1st grain temperature sensor for determining the pickup continuation
determine_continu_tr1_Pcp207_Silo9;GrainTemp26;2nd grain temperature sensor for determining the pickup continuation
determine_continu_tr1_Pcp207_Silo9;GrainTemp27;3rd grain temperature sensor for determining the pickup continuation
determine_continu_tr17_Pcp305_Silo16;Temp16;Temperature sensor for determining the pickup continuation
determine_continu_tr17_Pcp305_Silo16;Humd16;Humidity sensor for determining the pickup continuation
determine_continu_tr17_Pcp305_Silo16;GrainTemp46;1st grain temperature sensor for determining the pickup continuation
determine_continu_tr17_Pcp305_Silo16;GrainTemp47;2nd grain temperature sensor for determining the pickup continuation
determine_continu_tr17_Pcp305_Silo16;GrainTemp48;3rd grain temperature sensor for determining the pickup continuation
determine_continu_tr6_Pcp336_Silo4;Temp4;Temperature sensor for determining the pickup continuation
determine_continu_tr6_Pcp336_Silo4;Humd4;Humidity sensor for determining the pickup continuation
determine_continu_tr6_Pcp336_Silo4;GrainTemp10;1st grain temperature sensor for determining the pickup continuation
determine_continu_tr6_Pcp336_Silo4;GrainTemp11;2nd grain temperature sensor for determining the pickup continuation
determine_continu_tr6_Pcp336_Silo4;GrainTemp12;3rd grain temperature sensor for determining the pickup continuation
weigh_loaded_tr26_Pcp320;WS14;Weight sensor for loaded truck weighing
enter_tr16_Pcp163;rfidIICVAH;RFID tag read at entrance
determine_continu_tr32_Pcp64_Silo20;Temp20;Temperature sensor for determining the pickup continuation
determine_continu_tr32_Pcp64_Silo20;Humd20;Humidity sensor for determining the pickup continuation
determine_continu_tr32_Pcp64_Silo20;GrainTemp58;1st grain temperature sensor for determining the pickup continuation
determine_continu_tr32_Pcp64_Silo20;GrainTemp59;2nd grain temperature sensor for determining the pickup continuation
determine_continu_tr32_Pcp64_Silo20;GrainTemp60;3rd grain temperature sensor for determining the pickup continuation
weigh_loaded_tr1_Pcp207;WS05;Weight sensor for loaded truck weighing
enter_tr14_Pcp197;rfidYREIDQ;RFID tag read at entrance
weigh_loaded_tr29_Pcp113;WS14;Weight sensor for loaded truck weighing
enter_tr5_Pcp334;rfidSVWFVZ;RFID tag read at entrance
weigh_empty_tr16_Pcp163;WS02;Weight sensor for empty truck weighing
check_abnorm_tr16_Pcp163;rfidIICVAH;RFID tag read at empty truck weighing
weigh_empty_tr14_Pcp197;WS20;Weight sensor for empty truck weighing
check_abnorm_tr14_Pcp197;rfidYREIDQ;RFID tag read at empty truck weighing
weigh_loaded_tr17_Pcp305;WS12;Weight sensor for loaded truck weighing
determine_continu_tr16_Pcp163_Silo1;Temp1;Temperature sensor for determining the pickup continuation
determine_continu_tr16_Pcp163_Silo1;Humd1;Humidity sensor for determining the pickup continuation
determine_continu_tr16_Pcp163_Silo1;GrainTemp1;1st grain temperature sensor for determining the pickup continuation
determine_continu_tr16_Pcp163_Silo1;GrainTemp2;2nd grain temperature sensor for determining the pickup continuation
determine_continu_tr16_Pcp163_Silo1;GrainTemp3;3rd grain temperature sensor for determining the pickup continuation
weigh_loaded_tr40_Pcp1;WS06;Weight sensor for loaded truck weighing
weigh_loaded_tr4_Pcp428;WS14;Weight sensor for loaded truck weighing
weigh_loaded_tr24_Pcp249;WS20;Weight sensor for loaded truck weighing
weigh_loaded_tr32_Pcp64;WS08;Weight sensor for loaded truck weighing
determine_continu_tr14_Pcp197_Silo13;Temp13;Temperature sensor for determining the pickup continuation
determine_continu_tr14_Pcp197_Silo13;Humd13;Humidity sensor for determining the pickup continuation
determine_continu_tr14_Pcp197_Silo13;GrainTemp37;1st grain temperature sensor for determining the pickup continuation
determine_continu_tr14_Pcp197_Silo13;GrainTemp38;2nd grain temperature sensor for determining the pickup continuation
determine_continu_tr14_Pcp197_Silo13;GrainTemp39;3rd grain temperature sensor for determining the pickup continuation
weigh_loaded_tr8_Pcp221;WS02;Weight sensor for loaded truck weighing
weigh_loaded_tr15_Pcp96;WS18;Weight sensor for loaded truck weighing
weigh_loaded_tr46_Pcp309;WS13;Weight sensor for loaded truck weighing
weigh_empty_tr5_Pcp334;WS10;Weight sensor for empty truck weighing
enter_tr9_Pcp431;rfidKEBJGC;RFID tag read at entrance
check_abnorm_tr5_Pcp334;rfidSVWFVZ;RFID tag read at empty truck weighing
weigh_loaded_tr6_Pcp336;WS08;Weight sensor for loaded truck weighing
weigh_loaded_tr23_Pcp389;WS01;Weight sensor for loaded truck weighing
enter_tr28_Pcp155;rfidUOOSAQ;RFID tag read at entrance
determine_continu_tr5_Pcp334_Silo3;Temp3;Temperature sensor for determining the pickup continuation
determine_continu_tr5_Pcp334_Silo3;Humd3;Humidity sensor for determining the pickup continuation
determine_continu_tr5_Pcp334_Silo3;GrainTemp7;1st grain temperature sensor for determining the pickup continuation
determine_continu_tr5_Pcp334_Silo3;GrainTemp8;2nd grain temperature sensor for determining the pickup continuation
determine_continu_tr5_Pcp334_Silo3;GrainTemp9;3rd grain temperature sensor for determining the pickup continuation
weigh_loaded_tr39_Pcp362;WS19;Weight sensor for loaded truck weighing
weigh_loaded_tr19_Pcp20;WS14;Weight sensor for loaded truck weighing
weigh_empty_tr28_Pcp155;WS16;Weight sensor for empty truck weighing
check_abnorm_tr28_Pcp155;rfidUOOSAQ;RFID tag read at empty truck weighing
weigh_empty_tr9_Pcp431;WS06;Weight sensor for empty truck weighing
weigh_loaded_tr43_Pcp472;WS12;Weight sensor for loaded truck weighing
check_abnorm_tr9_Pcp431;rfidKEBJGC;RFID tag read at empty truck weighing
weigh_loaded_tr45_Pcp102;WS08;Weight sensor for loaded truck weighing
determine_continu_tr28_Pcp155_Silo9;Temp9;Temperature sensor for determining the pickup continuation
determine_continu_tr28_Pcp155_Silo9;Humd9;Humidity sensor for determining the pickup continuation
determine_continu_tr28_Pcp155_Silo9;GrainTemp25;1st grain temperature sensor for determining the pickup continuation
determine_continu_tr28_Pcp155_Silo9;GrainTemp26;2nd grain temperature sensor for determining the pickup continuation
determine_continu_tr28_Pcp155_Silo9;GrainTemp27;3rd grain temperature sensor for determining the pickup continuation
determine_continu_tr9_Pcp431_Silo8;Temp8;Temperature sensor for determining the pickup continuation
determine_continu_tr9_Pcp431_Silo8;Humd8;Humidity sensor for determining the pickup continuation
determine_continu_tr9_Pcp431_Silo8;GrainTemp22;1st grain temperature sensor for determining the pickup continuation
determine_continu_tr9_Pcp431_Silo8;GrainTemp23;2nd grain temperature sensor for determining the pickup continuation
determine_continu_tr9_Pcp431_Silo8;GrainTemp24;3rd grain temperature sensor for determining the pickup continuation
weigh_loaded_tr42_Pcp23;WS06;Weight sensor for loaded truck weighing
weigh_loaded_tr14_Pcp197;WS16;Weight sensor for loaded truck weighing
weigh_loaded_tr37_Pcp253;WS19;Weight sensor for loaded truck weighing
weigh_loaded_tr31_Pcp484;WS06;Weight sensor for loaded truck weighing
weigh_loaded_tr28_Pcp155;WS08;Weight sensor for loaded truck weighing
weigh_loaded_tr27_Pcp336;WS03;Weight sensor for loaded truck weighing
weigh_loaded_tr9_Pcp431;WS07;Weight sensor for loaded truck weighing
weigh_loaded_tr16_Pcp163;WS07;Weight sensor for loaded truck weighing
weigh_loaded_tr5_Pcp334;WS06;Weight sensor for loaded truck weighing
enter_tr48_Pcp95;rfidNSELSE;RFID tag read at entrance
weigh_empty_tr48_Pcp95;WS10;Weight sensor for empty truck weighing
check_abnorm_tr48_Pcp95;rfidNSELSE;RFID tag read at empty truck weighing
enter_tr34_Pcp311;rfidFMSUBE;RFID tag read at entrance
determine_continu_tr48_Pcp95_Silo6;Temp6;Temperature sensor for determining the pickup continuation
determine_continu_tr48_Pcp95_Silo6;Humd6;Humidity sensor for determining the pickup continuation
determine_continu_tr48_Pcp95_Silo6;GrainTemp16;1st grain temperature sensor for determining the pickup continuation
determine_continu_tr48_Pcp95_Silo6;GrainTemp17;2nd grain temperature sensor for determining the pickup continuation
determine_continu_tr48_Pcp95_Silo6;GrainTemp18;3rd grain temperature sensor for determining the pickup continuation
weigh_empty_tr34_Pcp311;WS17;Weight sensor for empty truck weighing
check_abnorm_tr34_Pcp311;rfidFMSUBE;RFID tag read at empty truck weighing
enter_tr41_Pcp49;rfidXWLCID;RFID tag read at entrance
determine_continu_tr34_Pcp311_Silo13;Temp13;Temperature sensor for determining the pickup continuation
determine_continu_tr34_Pcp311_Silo13;Humd13;Humidity sensor for determining the pickup continuation
determine_continu_tr34_Pcp311_Silo13;GrainTemp37;1st grain temperature sensor for determining the pickup continuation
determine_continu_tr34_Pcp311_Silo13;GrainTemp38;2nd grain temperature sensor for determining the pickup continuation
determine_continu_tr34_Pcp311_Silo13;GrainTemp39;3rd grain temperature sensor for determining the pickup continuation
enter_tr2_Pcp397;rfidSQKJGH;RFID tag read at entrance
enter_tr12_Pcp104;rfidVYYKGK;RFID tag read at entrance
enter_tr50_Pcp48;rfidXXIVNB;RFID tag read at entrance
weigh_empty_tr2_Pcp397;WS02;Weight sensor for empty truck weighing
weigh_empty_tr12_Pcp104;WS09;Weight sensor for empty truck weighing
check_abnorm_tr2_Pcp397;rfidSQKJGH;RFID tag read at empty truck weighing
check_abnorm_tr12_Pcp104;rfidVYYKGK;RFID tag read at empty truck weighing
determine_continu_tr2_Pcp397_Silo19;Temp19;Temperature sensor for determining the pickup continuation
determine_continu_tr2_Pcp397_Silo19;Humd19;Humidity sensor for determining the pickup continuation
determine_continu_tr2_Pcp397_Silo19;GrainTemp55;1st grain temperature sensor for determining the pickup continuation
determine_continu_tr2_Pcp397_Silo19;GrainTemp56;2nd grain temperature sensor for determining the pickup continuation
determine_continu_tr2_Pcp397_Silo19;GrainTemp57;3rd grain temperature sensor for determining the pickup continuation
weigh_empty_tr50_Pcp48;WS06;Weight sensor for empty truck weighing
check_abnorm_tr50_Pcp48;rfidXXIVNB;RFID tag read at empty truck weighing
determine_continu_tr12_Pcp104_Silo1;Temp1;Temperature sensor for determining the pickup continuation
determine_continu_tr12_Pcp104_Silo1;Humd1;Humidity sensor for determining the pickup continuation
determine_continu_tr12_Pcp104_Silo1;GrainTemp1;1st grain temperature sensor for determining the pickup continuation
determine_continu_tr12_Pcp104_Silo1;GrainTemp2;2nd grain temperature sensor for determining the pickup continuation
determine_continu_tr12_Pcp104_Silo1;GrainTemp3;3rd grain temperature sensor for determining the pickup continuation
weigh_empty_tr41_Pcp49;WS17;Weight sensor for empty truck weighing
check_abnorm_tr41_Pcp49;rfidXWLCID;RFID tag read at empty truck weighing
weigh_loaded_tr48_Pcp95;WS13;Weight sensor for loaded truck weighing
determine_continu_tr50_Pcp48_Silo15;Temp15;Temperature sensor for determining the pickup continuation
determine_continu_tr50_Pcp48_Silo15;Humd15;Humidity sensor for determining the pickup continuation
determine_continu_tr50_Pcp48_Silo15;GrainTemp43;1st grain temperature sensor for determining the pickup continuation
determine_continu_tr50_Pcp48_Silo15;GrainTemp44;2nd grain temperature sensor for determining the pickup continuation
determine_continu_tr50_Pcp48_Silo15;GrainTemp45;3rd grain temperature sensor for determining the pickup continuation
determine_continu_tr41_Pcp49_Silo16;Temp16;Temperature sensor for determining the pickup continuation
determine_continu_tr41_Pcp49_Silo16;Humd16;Humidity sensor for determining the pickup continuation
determine_continu_tr41_Pcp49_Silo16;GrainTemp46;1st grain temperature sensor for determining the pickup continuation
determine_continu_tr41_Pcp49_Silo16;GrainTemp47;2nd grain temperature sensor for determining the pickup continuation
determine_continu_tr41_Pcp49_Silo16;GrainTemp48;3rd grain temperature sensor for determining the pickup continuation
weigh_loaded_tr34_Pcp311;WS06;Weight sensor for loaded truck weighing
weigh_loaded_tr41_Pcp49;WS15;Weight sensor for loaded truck weighing
enter_tr13_Pcp490;rfidGTHHGD;RFID tag read at entrance
enter_tr47_Pcp430;rfidJGLUGP;RFID tag read at entrance
weigh_empty_tr13_Pcp490;WS04;Weight sensor for empty truck weighing
check_abnorm_tr13_Pcp490;rfidGTHHGD;RFID tag read at empty truck weighing
determine_continu_tr13_Pcp490_Silo9;Temp9;Temperature sensor for determining the pickup continuation
determine_continu_tr13_Pcp490_Silo9;Humd9;Humidity sensor for determining the pickup continuation
determine_continu_tr13_Pcp490_Silo9;GrainTemp25;1st grain temperature sensor for determining the pickup continuation
determine_continu_tr13_Pcp490_Silo9;GrainTemp26;2nd grain temperature sensor for determining the pickup continuation
determine_continu_tr13_Pcp490_Silo9;GrainTemp27;3rd grain temperature sensor for determining the pickup continuation
weigh_empty_tr47_Pcp430;WS08;Weight sensor for empty truck weighing
check_abnorm_tr47_Pcp430;rfidJGLUGP;RFID tag read at empty truck weighing
weigh_loaded_tr50_Pcp48;WS13;Weight sensor for loaded truck weighing
determine_continu_tr47_Pcp430_Silo13;Temp13;Temperature sensor for determining the pickup continuation
determine_continu_tr47_Pcp430_Silo13;Humd13;Humidity sensor for determining the pickup continuation
determine_continu_tr47_Pcp430_Silo13;GrainTemp37;1st grain temperature sensor for determining the pickup continuation
determine_continu_tr47_Pcp430_Silo13;GrainTemp38;2nd grain temperature sensor for determining the pickup continuation
determine_continu_tr47_Pcp430_Silo13;GrainTemp39;3rd grain temperature sensor for determining the pickup continuation
enter_tr36_Pcp369;rfidHYTHBN;RFID tag read at entrance
enter_tr22_Pcp330;rfidENJOLW;RFID tag read at entrance
weigh_empty_tr36_Pcp369;WS17;Weight sensor for empty truck weighing
check_abnorm_tr36_Pcp369;rfidHYTHBN;RFID tag read at empty truck weighing
enter_tr3_Pcp270;rfidDRCUXI;RFID tag read at entrance
weigh_empty_tr22_Pcp330;WS14;Weight sensor for empty truck weighing
determine_continu_tr36_Pcp369_Silo12;Temp12;Temperature sensor for determining the pickup continuation
determine_continu_tr36_Pcp369_Silo12;Humd12;Humidity sensor for determining the pickup continuation
determine_continu_tr36_Pcp369_Silo12;GrainTemp34;1st grain temperature sensor for determining the pickup continuation
determine_continu_tr36_Pcp369_Silo12;GrainTemp35;2nd grain temperature sensor for determining the pickup continuation
determine_continu_tr36_Pcp369_Silo12;GrainTemp36;3rd grain temperature sensor for determining the pickup continuation
check_abnorm_tr22_Pcp330;rfidENJOLW;RFID tag read at empty truck weighing
weigh_loaded_tr2_Pcp397;WS06;Weight sensor for loaded truck weighing
weigh_empty_tr3_Pcp270;WS07;Weight sensor for empty truck weighing
check_abnorm_tr3_Pcp270;rfidDRCUXI;RFID tag read at empty truck weighing
determine_continu_tr22_Pcp330_Silo9;Temp9;Temperature sensor for determining the pickup continuation
determine_continu_tr22_Pcp330_Silo9;Humd9;Humidity sensor for determining the pickup continuation
determine_continu_tr22_Pcp330_Silo9;GrainTemp25;1st grain temperature sensor for determining the pickup continuation
determine_continu_tr22_Pcp330_Silo9;GrainTemp26;2nd grain temperature sensor for determining the pickup continuation
determine_continu_tr22_Pcp330_Silo9;GrainTemp27;3rd grain temperature sensor for determining the pickup continuation
determine_continu_tr3_Pcp270_Silo6;Temp6;Temperature sensor for determining the pickup continuation
determine_continu_tr3_Pcp270_Silo6;Humd6;Humidity sensor for determining the pickup continuation
determine_continu_tr3_Pcp270_Silo6;GrainTemp16;1st grain temperature sensor for determining the pickup continuation
determine_continu_tr3_Pcp270_Silo6;GrainTemp17;2nd grain temperature sensor for determining the pickup continuation
determine_continu_tr3_Pcp270_Silo6;GrainTemp18;3rd grain temperature sensor for determining the pickup continuation
weigh_loaded_tr13_Pcp490;WS06;Weight sensor for loaded truck weighing
weigh_loaded_tr47_Pcp430;WS07;Weight sensor for loaded truck weighing
weigh_loaded_tr22_Pcp330;WS19;Weight sensor for loaded truck weighing
weigh_loaded_tr12_Pcp104;WS20;Weight sensor for loaded truck weighing
weigh_loaded_tr36_Pcp369;WS02;Weight sensor for loaded truck weighing
weigh_loaded_tr3_Pcp270;WS17;Weight sensor for loaded truck weighing
enter_tr10_Pcp116;rfidOOVDPE;RFID tag read at entrance
weigh_empty_tr10_Pcp116;WS18;Weight sensor for empty truck weighing
check_abnorm_tr10_Pcp116;rfidOOVDPE;RFID tag read at empty truck weighing
determine_continu_tr10_Pcp116_Silo1;Temp1;Temperature sensor for determining the pickup continuation
determine_continu_tr10_Pcp116_Silo1;Humd1;Humidity sensor for determining the pickup continuation
determine_continu_tr10_Pcp116_Silo1;GrainTemp1;1st grain temperature sensor for determining the pickup continuation
determine_continu_tr10_Pcp116_Silo1;GrainTemp2;2nd grain temperature sensor for determining the pickup continuation
determine_continu_tr10_Pcp116_Silo1;GrainTemp3;3rd grain temperature sensor for determining the pickup continuation
enter_tr35_Pcp342;rfidPODCVH;RFID tag read at entrance
weigh_loaded_tr10_Pcp116;WS07;Weight sensor for loaded truck weighing
enter_tr20_Pcp103;rfidXPDNSC;RFID tag read at entrance
weigh_empty_tr35_Pcp342;WS08;Weight sensor for empty truck weighing
weigh_empty_tr20_Pcp103;WS04;Weight sensor for empty truck weighing
check_abnorm_tr35_Pcp342;rfidPODCVH;RFID tag read at empty truck weighing
check_abnorm_tr20_Pcp103;rfidXPDNSC;RFID tag read at empty truck weighing
enter_tr30_Pcp202;rfidCBMLGM;RFID tag read at entrance
enter_tr21_Pcp310;rfidTLWXGZ;RFID tag read at entrance
enter_tr11_Pcp397;rfidSCPJCE;RFID tag read at entrance
weigh_empty_tr21_Pcp310;WS08;Weight sensor for empty truck weighing
check_abnorm_tr21_Pcp310;rfidTLWXGZ;RFID tag read at empty truck weighing
enter_tr44_Pcp427;rfidJRRVME;RFID tag read at entrance
determine_continu_tr20_Pcp103_Silo9;Temp9;Temperature sensor for determining the pickup continuation
determine_continu_tr20_Pcp103_Silo9;Humd9;Humidity sensor for determining the pickup continuation
determine_continu_tr20_Pcp103_Silo9;GrainTemp25;1st grain temperature sensor for determining the pickup continuation
determine_continu_tr20_Pcp103_Silo9;GrainTemp26;2nd grain temperature sensor for determining the pickup continuation
determine_continu_tr20_Pcp103_Silo9;GrainTemp27;3rd grain temperature sensor for determining the pickup continuation
weigh_empty_tr11_Pcp397;WS01;Weight sensor for empty truck weighing
enter_tr49_Pcp469;rfidNJSWIM;RFID tag read at entrance
check_abnorm_tr11_Pcp397;rfidSCPJCE;RFID tag read at empty truck weighing
determine_continu_tr35_Pcp342_Silo14;Temp14;Temperature sensor for determining the pickup continuation
determine_continu_tr35_Pcp342_Silo14;Humd14;Humidity sensor for determining the pickup continuation
determine_continu_tr35_Pcp342_Silo14;GrainTemp40;1st grain temperature sensor for determining the pickup continuation
determine_continu_tr35_Pcp342_Silo14;GrainTemp41;2nd grain temperature sensor for determining the pickup continuation
determine_continu_tr35_Pcp342_Silo14;GrainTemp42;3rd grain temperature sensor for determining the pickup continuation
determine_continu_tr21_Pcp310_Silo10;Temp10;Temperature sensor for determining the pickup continuation
determine_continu_tr21_Pcp310_Silo10;Humd10;Humidity sensor for determining the pickup continuation
determine_continu_tr21_Pcp310_Silo10;GrainTemp28;1st grain temperature sensor for determining the pickup continuation
determine_continu_tr21_Pcp310_Silo10;GrainTemp29;2nd grain temperature sensor for determining the pickup continuation
determine_continu_tr21_Pcp310_Silo10;GrainTemp30;3rd grain temperature sensor for determining the pickup continuation
weigh_empty_tr30_Pcp202;WS02;Weight sensor for empty truck weighing
weigh_empty_tr44_Pcp427;WS11;Weight sensor for empty truck weighing
check_abnorm_tr30_Pcp202;rfidCBMLGM;RFID tag read at empty truck weighing
check_abnorm_tr44_Pcp427;rfidJRRVME;RFID tag read at empty truck weighing
weigh_empty_tr49_Pcp469;WS04;Weight sensor for empty truck weighing
determine_continu_tr30_Pcp202_Silo10;Temp10;Temperature sensor for determining the pickup continuation
determine_continu_tr30_Pcp202_Silo10;Humd10;Humidity sensor for determining the pickup continuation
determine_continu_tr30_Pcp202_Silo10;GrainTemp28;1st grain temperature sensor for determining the pickup continuation
determine_continu_tr30_Pcp202_Silo10;GrainTemp29;2nd grain temperature sensor for determining the pickup continuation
determine_continu_tr30_Pcp202_Silo10;GrainTemp30;3rd grain temperature sensor for determining the pickup continuation
enter_tr25_Pcp281;rfidMFTSWW;RFID tag read at entrance
check_abnorm_tr49_Pcp469;rfidNJSWIM;RFID tag read at empty truck weighing
determine_continu_tr11_Pcp397_Silo19;Temp19;Temperature sensor for determining the pickup continuation
determine_continu_tr11_Pcp397_Silo19;Humd19;Humidity sensor for determining the pickup continuation
determine_continu_tr11_Pcp397_Silo19;GrainTemp55;1st grain temperature sensor for determining the pickup continuation
determine_continu_tr11_Pcp397_Silo19;GrainTemp56;2nd grain temperature sensor for determining the pickup continuation
determine_continu_tr11_Pcp397_Silo19;GrainTemp57;3rd grain temperature sensor for determining the pickup continuation
enter_tr33_Pcp45;rfidMVJRXE;RFID tag read at entrance
weigh_empty_tr25_Pcp281;WS10;Weight sensor for empty truck weighing
